VOIDTK void
IDENFR print_str
LPARENT (
CHARTK char
IDENFR str
LBRACK [
RBRACK ]
RPARENT )
LBRACE {
INTTK int
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
FORTK for
LPARENT (
SEMICN ;
IDENFR str
LBRACK [
IDENFR i
RBRACK ]
NEQ !=
CHRCON '\0'
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "%c"
COMMA ,
IDENFR str
LBRACK [
IDENFR i
RBRACK ]
RPARENT )
SEMICN ;
RBRACE }
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
CHARTK char
IDENFR ch
LBRACK [
INTCON 15
RBRACK ]
ASSIGN =
STRCON "Hello, world!\n"
SEMICN ;
IDENFR print_str
LPARENT (
IDENFR ch
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
